iter	Passed	Remaining
0	3	316
1	6	300
2	8	285
3	11	268
4	13	257
5	16	256
6	19	254
7	21	252
8	24	250
9	27	249
10	30	243
11	32	241
12	35	239
13	38	234
14	40	231
15	43	227
16	45	224
17	48	222
18	52	221
19	55	221
20	58	220
21	61	217
22	64	216
23	67	213
24	70	210
25	72	207
26	75	204
27	78	201
28	81	199
29	84	196
30	86	193
31	89	190
32	92	187
33	95	185
34	98	182
35	100	179
36	103	176
37	106	173
38	109	170
39	112	168
40	114	165
41	117	162
42	120	159
43	123	157
44	126	155
45	129	152
46	132	149
47	135	146
48	138	144
49	141	141
50	144	138
51	147	135
52	149	132
53	152	130
54	155	127
55	158	124
56	161	121
57	164	118
58	166	115
59	169	113
60	172	110
61	175	107
62	178	104
63	181	101
64	183	99
65	186	96
66	189	93
67	192	90
68	195	87
69	198	84
70	201	82
71	204	79
72	206	76
73	209	73
74	212	70
75	215	68
76	218	65
77	221	62
78	224	59
79	227	56
80	230	53
81	232	51
82	235	48
83	238	45
84	241	42
85	244	39
86	247	36
87	249	34
88	252	31
89	255	28
90	258	25
91	261	22
92	263	19
93	266	17
94	269	14
95	271	11
96	274	8
97	277	5
98	280	2
99	283	0
