iter	Passed	Remaining
0	146	146349
1	150	75325
2	154	51503
3	159	39767
4	164	32709
5	168	27887
6	172	24429
7	177	21951
8	181	19981
9	185	18354
10	189	17015
11	193	15966
12	198	15059
13	202	14260
14	206	13564
15	211	12997
16	215	12449
17	219	11960
18	223	11561
19	228	11192
20	232	10834
21	236	10497
22	240	10232
23	245	9974
24	249	9722
25	253	9483
26	257	9289
27	261	9084
28	265	8889
29	269	8718
30	274	8570
31	277	8407
32	281	8257
33	286	8143
34	290	8013
35	294	7884
36	298	7763
37	303	7674
38	324	7990
39	328	7888
40	332	7781
41	337	7706
42	341	7610
43	345	7510
44	350	7439
45	354	7357
46	358	7277
47	362	7193
48	368	7143
49	371	7065
50	375	6989
51	379	6914
52	384	6864
53	388	6797
54	392	6736
55	396	6679
56	400	6629
57	404	6569
58	408	6510
59	413	6472
60	417	6424
61	421	6372
62	425	6321
63	429	6288
64	434	6246
65	438	6200
66	442	6156
67	446	6124
68	450	6082
69	454	6042
70	460	6020
71	464	5986
72	468	5947
73	472	5906
74	477	5885
75	481	5852
76	485	5813
77	489	5783
78	494	5759
79	498	5727
80	501	5695
81	505	5662
82	510	5638
83	514	5606
84	518	5576
85	522	5550
86	526	5528
87	531	5503
88	534	5474
89	539	5456
90	543	5429
91	547	5403
92	551	5377
93	556	5359
94	560	5336
95	564	5311
96	568	5287
97	572	5271
98	576	5247
99	580	5224
100	584	5206
101	589	5188
102	593	5166
103	596	5142
104	601	5128
105	605	5110
106	609	5089
107	613	5070
108	618	5057
109	622	5038
110	626	5017
111	630	4997
112	635	4985
113	638	4965
114	642	4946
115	646	4927
116	651	4915
117	655	4896
118	658	4878
119	663	4863
120	667	4850
121	672	4837
122	675	4818
123	680	4807
124	684	4791
125	688	4772
126	691	4754
127	697	4749
128	701	4734
129	704	4717
130	709	4703
131	713	4690
132	716	4673
133	720	4657
134	725	4647
135	729	4635
136	733	4618
137	736	4602
138	741	4591
139	745	4579
140	749	4565
141	753	4551
142	758	4544
143	762	4531
144	766	4516
145	770	4504
146	774	4494
147	778	4482
148	782	4470
149	787	4460
150	791	4452
151	796	4441
152	800	4432
153	805	4425
154	809	4413
155	813	4403
156	817	4391
157	822	4383
158	826	4373
159	830	4362
160	834	4350
161	839	4342
162	843	4329
163	846	4317
164	851	4307
165	855	4300
166	859	4287
167	862	4272
168	865	4257
169	869	4244
170	872	4228
171	875	4213
172	878	4198
173	881	4184
174	885	4172
175	887	4157
176	890	4142
177	893	4128
178	897	4114
179	900	4102
180	903	4088
181	906	4073
182	909	4060
183	912	4047
184	916	4036
185	919	4023
186	922	4009
187	925	3996
188	928	3984
189	932	3974
190	935	3962
191	938	3948
192	941	3935
193	944	3923
194	947	3912
195	950	3899
196	953	3887
197	956	3875
198	960	3864
199	976	3907
200	981	3900
201	984	3890
202	988	3880
203	992	3873
204	997	3867
205	1000	3858
206	1004	3848
207	1009	3844
208	1013	3837
209	1017	3828
210	1021	3819
211	1026	3814
212	1030	3807
